Author,Link
A. Fleck,http://cs.iit.edu/~scs/assets/files/Anthony_oed_pdsw16.pdf
A. Gainaru,http://cs.iit.edu/~scs/assets/files/gainaru2024derive.pdf
A. Gentile,http://cs.iit.edu/~scs/assets/files/DSN12.pdf
A. Haider,http://cs.iit.edu/~scs/assets/files/haider_2018.pdf
A. Kougkas,http://cs.iit.edu/~scs/assets/files/gainaru2024derive.pdf
A. Kravtsov,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.713.5156&rep=rep1&type=pdf
A. Nigmetov,http://cs.iit.edu/~scs/assets/files/ye2024viper.pdf
A. Torres,http://cs.iit.edu/~scs/assets/files/jun_hpdc13.pdf
A. Y. Zomaya,http://cs.iit.edu/~scs/assets/files/auto_provision_tcc15.pdf
B. Allcock,http://cs.iit.edu/~scs/assets/files/ning2020dismemsys.pdf
B. Feng,http://cs.iit.edu/~scs/assets/files/PortHadoop_ieee.pdf
B. Long,http://cs.iit.edu/~scs/assets/files/lu2024aces.pdf
B. Nicolae,http://cs.iit.edu/~scs/assets/files/ye2024kvcache_poster.pdf
B. Toonen,http://cs.iit.edu/~scs/assets/files/ning2020dismemsys.pdf
B. Wang,https://www.cs.fsu.edu/~yuw/pubs/2015-ICS-Yu.pdf
B. Xu,http://cs.iit.edu/~scs/assets/files/baoyu.pdf
C. Chen,http://cs.iit.edu/~scs/assets/files/Yong_ISPA16.pdf
C. Feng,http://cs.iit.edu/~scs/assets/files/dominoes.pdf
C. Huang,http://cs.iit.edu/~scs/assets/files/Heterogeneity-Aware%20Collective%20IO%20for%20Parallel%20IO%20Systems%20with%20Hybrid%20HDD_SSD%20Servers.pdf
C. Jiang,http://cs.iit.edu/~scs/assets/files/C-AMAT_GPGPU.pdf
C. Li,http://cs.iit.edu/~scs/assets/files/ISPA2019-ChundianLi.pdf
C. Maltzahn,http://cs.iit.edu/~scs/assets/files/jun_hpdc13.pdf
C. Xu,http://cs.iit.edu/~scs/assets/files/wang2019cost.pdf
C.-Z. Xu,http://cs.iit.edu/~scs/assets/files/ye2020sova.pdf
